date,nav
05-10-2023,921.56800
04-10-2023,917.37300
03-10-2023,926.53200
29-09-2023,931.07600
27-09-2023,928.62800
26-09-2023,923.92500
25-09-2023,925.24200
22-09-2023,925.89900
21-09-2023,928.27900
20-09-2023,937.05600
18-09-2023,944.78800
15-09-2023,946.05500
14-09-2023,942.64900
13-09-2023,941.25000
12-09-2023,936.17100
11-09-2023,940.95400
08-09-2023,934.56300
07-09-2023,925.29200
06-09-2023,917.11100
05-09-2023,915.99300
04-09-2023,913.38000
01-09-2023,908.33400
31-08-2023,899.78000
30-08-2023,904.38400
29-08-2023,904.16700
28-08-2023,903.75000
25-08-2023,900.72400
24-08-2023,907.04100
23-08-2023,909.22800
22-08-2023,906.19900
21-08-2023,904.48300
18-08-2023,899.50500
17-08-2023,902.43700
16-08-2023,905.72600
14-08-2023,903.26700
11-08-2023,903.01900
10-08-2023,908.10400
09-08-2023,912.14000
08-08-2023,907.92100
07-08-2023,908.58500
04-08-2023,904.79700
03-08-2023,899.35600
02-08-2023,904.76700
01-08-2023,915.75800
31-07-2023,914.24000
28-07-2023,907.91400
27-07-2023,907.30100
26-07-2023,908.34000
25-07-2023,902.55500
24-07-2023,901.93000
21-07-2023,901.54500
20-07-2023,908.96600
19-07-2023,902.82200
18-07-2023,897.62800
17-07-2023,896.50000
14-07-2023,891.54700
13-07-2023,885.91400
12-07-2023,885.76100
11-07-2023,887.77500
10-07-2023,883.27500
07-07-2023,883.24900
06-07-2023,889.01900
05-07-2023,883.92600
04-07-2023,884.21600
03-07-2023,882.76600
30-06-2023,877.42600
28-06-2023,868.54800
27-06-2023,860.35100
26-06-2023,854.60900
23-06-2023,853.43200
22-06-2023,857.38100
21-06-2023,861.58600
20-06-2023,859.32600
19-06-2023,856.30400
16-06-2023,859.15500
15-06-2023,853.70200
14-06-2023,856.35500
13-06-2023,855.20500
12-06-2023,850.42600
09-06-2023,849.06000
08-06-2023,850.33000
07-06-2023,853.26100
06-06-2023,846.94900
05-06-2023,846.46000
02-06-2023,842.49800
01-06-2023,838.42600
31-05-2023,840.95600
30-05-2023,844.71200
29-05-2023,842.16000
26-05-2023,836.62000
25-05-2023,829.91700
24-05-2023,828.26100
23-05-2023,829.77900
22-05-2023,828.86800
19-05-2023,826.14300
18-05-2023,823.46500
17-05-2023,826.22900
16-05-2023,830.27800
15-05-2023,832.51100
12-05-2023,827.10900
11-05-2023,826.51800
10-05-2023,826.98900
09-05-2023,825.13500
08-05-2023,825.41600
05-05-2023,817.16100
04-05-2023,825.82800
03-05-2023,820.22500
02-05-2023,822.25100
28-04-2023,818.03000
27-04-2023,811.01100
26-04-2023,807.12900
25-04-2023,804.29800
24-04-2023,803.23300
21-04-2023,796.88700
20-04-2023,797.37300
19-04-2023,796.15400
18-04-2023,799.10100
17-04-2023,799.69000
13-04-2023,805.61800
12-04-2023,806.83300
11-04-2023,803.89000
10-04-2023,800.78100
06-04-2023,797.83500
05-04-2023,795.94300
03-04-2023,788.98400
31-03-2023,786.23700
29-03-2023,774.82900
28-03-2023,769.22000
27-03-2023,770.59800
24-03-2023,769.48100
23-03-2023,775.11800
22-03-2023,778.13200
21-03-2023,776.81100
20-03-2023,770.95300
17-03-2023,776.46000
16-03-2023,772.40300
15-03-2023,771.39300
14-03-2023,775.57300
13-03-2023,778.97900
10-03-2023,791.65200
09-03-2023,799.22400
08-03-2023,804.57800
06-03-2023,800.76300
03-03-2023,794.79100
02-03-2023,782.93700
01-03-2023,787.75200
28-02-2023,781.03800
27-02-2023,784.46700
24-02-2023,786.90400
23-02-2023,788.53000
22-02-2023,789.74300
21-02-2023,800.07700
20-02-2023,800.02300
17-02-2023,803.91300
16-02-2023,807.56200
15-02-2023,805.91900
14-02-2023,802.55000
13-02-2023,796.68100
10-02-2023,801.05400
09-02-2023,802.28800
08-02-2023,801.65300
07-02-2023,797.10600
06-02-2023,799.97900
03-02-2023,801.83200
02-02-2023,791.82200
01-02-2023,789.53800
31-01-2023,791.99000
30-01-2023,788.65700
27-01-2023,788.01500
25-01-2023,800.59400
24-01-2023,812.05700
23-01-2023,813.23200
20-01-2023,809.25400
19-01-2023,810.21100
18-01-2023,810.51100
17-01-2023,804.82600
16-01-2023,799.94900
13-01-2023,803.05400
12-01-2023,798.59700
11-01-2023,799.69800
10-01-2023,800.29400
09-01-2023,807.76700
06-01-2023,797.90200
05-01-2023,802.87400
04-01-2023,802.36000
03-01-2023,810.73800
02-01-2023,807.93800
30-12-2022,802.40100
29-12-2022,805.70000
28-12-2022,802.26500
27-12-2022,802.88200
26-12-2022,799.15300
23-12-2022,787.25400
22-12-2022,801.71900
21-12-2022,804.81800
20-12-2022,813.13400
19-12-2022,815.27000
16-12-2022,809.74100
15-12-2022,817.00200
14-12-2022,826.88800
13-12-2022,824.35700
12-12-2022,820.27800
09-12-2022,818.49100
08-12-2022,822.62400
07-12-2022,819.33200
06-12-2022,821.04100
05-12-2022,824.54900
02-12-2022,823.79100
01-12-2022,827.50300
30-11-2022,825.00600
29-11-2022,820.06800
28-11-2022,818.32800
25-11-2022,816.20500
24-11-2022,813.45700
23-11-2022,804.00400
22-11-2022,802.49100
21-11-2022,799.06500
18-11-2022,803.92400
17-11-2022,806.66600
16-11-2022,808.54200
15-11-2022,808.28300
14-11-2022,804.91700
11-11-2022,806.90700
10-11-2022,794.13000
09-11-2022,799.82600
07-11-2022,801.62300
04-11-2022,796.42100
03-11-2022,796.49600
02-11-2022,797.36200
01-11-2022,798.94900
31-10-2022,793.54000
28-10-2022,784.56800
27-10-2022,783.78100
25-10-2022,778.56400
21-10-2022,771.45500
20-10-2022,770.58600
19-10-2022,768.55700
18-10-2022,768.35800
17-10-2022,760.09200
14-10-2022,754.56100
13-10-2022,747.78600
12-10-2022,752.51000
11-10-2022,745.79300
10-10-2022,756.25500
07-10-2022,759.50600
06-10-2022,761.23400
04-10-2022,756.29500
03-10-2022,740.31100
30-09-2022,746.00900
29-09-2022,736.01300
28-09-2022,735.24800
27-09-2022,742.23500
26-09-2022,742.97000
23-09-2022,758.11300
22-09-2022,771.37200
21-09-2022,776.51200
20-09-2022,780.94600
19-09-2022,773.57700
16-09-2022,770.64000
15-09-2022,786.25300
14-09-2022,789.11300
13-09-2022,791.32900
12-09-2022,786.72500
09-09-2022,783.21400
08-09-2022,782.23900
07-09-2022,775.53300
06-09-2022,775.25300
05-09-2022,773.63300
02-09-2022,768.18700
01-09-2022,768.22500
30-08-2022,777.12200
29-08-2022,759.94500
26-08-2022,770.00300
25-08-2022,767.53900
24-08-2022,769.73200
23-08-2022,768.51300
22-08-2022,764.33500
19-08-2022,773.71200
18-08-2022,781.69500
17-08-2022,781.57900
16-08-2022,777.09000
12-08-2022,772.10000
11-08-2022,767.87700
10-08-2022,762.20200
08-08-2022,760.67000
05-08-2022,754.60000
04-08-2022,752.64800
03-08-2022,754.16900
02-08-2022,753.78500
01-08-2022,753.62400
29-07-2022,745.71500
28-07-2022,735.24200
27-07-2022,728.19600
26-07-2022,720.94300
25-07-2022,726.70500
22-07-2022,728.49400
21-07-2022,725.65400
20-07-2022,721.72100
19-07-2022,715.27900
18-07-2022,711.57600
15-07-2022,702.36800
14-07-2022,698.57300
13-07-2022,700.48500
12-07-2022,704.43300
11-07-2022,710.10000
08-07-2022,709.64200
07-07-2022,704.36900
06-07-2022,697.17400
05-07-2022,692.10200
04-07-2022,693.47800
